#55: Digital Twin Approach for Solving Reconfiguration Planning Problems in RMS;#48: An Approach to Jointly Optimize the Process Plan, Scheduling, and Layout Design in Reconfigurable Manufacturing Systems;#94 A new Simulation-Based Approach in the Design of Manufacturing Systems and Real Time Decision Making ;#89 Toward a Real-Time Reconfiguration of Self-Adaptive Smart Assembly Systems;# 83 Cyber-physical production systems: enhancement with a self-organized reconfiguration management;# 78 A design methodology for modular processes orchestration;# 72 Digital twin-driven rapid reconfiguration of the automated manufacturing system via an open architecture model;# 68 Resilience dynamics modeling and control for a reconfigurable electronic assembly line under spatio-temporal disruptions;# 63 Data-driven and autonomous manufacturing control in cyber-physical production systems;# 58 An Adaptive Algorithm for Multiple Part Families Manufacturing Selection in Reconfigurable Flow Lines;# 44 Reconfiguration of Flexible Manufacturing Systems Considering Product Morpho-Dimensional Characteristics and Modular Design;# 19 Critical Path Control of Dynamic Reconfigurable Manufacturing Systems Based on NCESs;#34 Sustainable reconfigurable manufacturing system design using adapted multi-objective evolutionary-based approaches;#40 Generic Framework for Holonic Modelling and Multi-Agent Based Verification of Reconfigurable Manufacturing Systems;# 30 A heuristic-based non-linear mixed integer approach for optimizing modularity and integrability in a sustainable reconfigurable manufacturing environment;# 26 Optimal sequence planning for multi-model reconfigurable assembly systems;# 15 CPS-Based Self-Adaptive Collaborative Control for Smart Production-Logistics Systems;# 11 Industrial Application of a MDM-Based Approach for Generation and Impact Analysis of Adaptation Options - a Case Study
;;;;;;;;;;;;;;;;;
1: Demand change;1 considering several jobs and changing demand over several periods;2 the paper does not explicitly describe how they identify the reconfiguration needs, but they to consider the resource status and the new orders, before they generat a reconfiguration plan;0 human enters the new configuration ;2;0;1 only product;1 only system based;0 is considering different orders, but the identification of reconfiguration demand is not implemented. With every new order a configuration is planned. ;0;1 based on similarity mesures of already produced products;1 they define certain events which trigger the reconfiguration;0;0 they do write that operational and strategic triggers are relevant, but they do not identify them. They only compare results of simulation if the configuration is meeting the desired throughput;0;0 planning of a period based on the specified demand;1 is including different scenarios for machine failure ;1
1;3;2;0;1;1;3;2;2;2;0;0;3;1;1;3;3;0
1;1;0;0;0;0;1;1;0;1;0;0;"1 cost of changing machines, configurations, tools; time in changing machines, configurations, tools,";0;1 in the sense of energy consumption needed for reconfiguration ;1;1 set up time;0
0;1;1;0;0;0;1;1;1 makespan;1;0;0;1 cost of processing. processing time of the operations;1 productivity, throughput, machine utilization;0;1;1 waiting time and makespan;0
0;1, total tardiness, material handling;1 minimizazion of total cycle time, lead times, transportation times, stock costs;0;1 time, cost, energy;1 time, cost, energy;"1 upper-level: min. machining takt time +economic efficiency for all machines in the system (Line Balancing)
lower-level: min. machine moving cost and machine holding cost (the time and economic costs to install, remove, and transport machines)";0;1 activation cost and operating costs of each machine;0;0;0;1cost of the emitted greenhouse gases and cost of the hazardous liquid waste;0;0;1 The three objective functions developed are minimization of reconfiguration effort (time/cost), minimization of delay in product delivery and balancing of work content.;1 energy consumption;0
1;0;0;0;1;0 only one configuration is generated and optimized;2;0;0;0;0;0;2;0;2 several configurations are only created if the first solution is not lower than the set value of max. Energy consumption;2 create a pareto surface and select one solution based on weights;2 pareto front and weighted selection;0
3;3;2;2;;;7;8;4;4 but no implementation is described in the paper;2;8;4;0;4;4;4;3
0: the paper claims to compare a DT simulation with a non DT simulation. At the end only to different simulations are compared. I can not see any specific characteristics regarding a DT;0: considers RMS;2 they do consider the continius data access in order to observe the current status of the system. And they do provide a virtual simulation model of the manufacturing line;0;2 CPPS;2 they use all words DT, CPS, CPPS, Industry 4.0, but the approach is focusing on the interoperability and integration of different modules into a system;2 Uses benefits of DT ( in the sense of simulation, network and open architekture);2 Uses DT, Simulation which is used to mirror the system and also to test future control scenarios. Modules can be exchanged dynamically and replace other modules.;2 Usage of models and network. Network is represented by an multi-agent system. CPPS is described and considered and related to the term of DT;0 RMS & RMTs;0;0;0;1 usage of an MAS Simulation to evaluate the manual created configuration;0;0;2 they consider CPS which make use of the DT;0
0: does not include the model generation needed for reconfiguration;0: does not include the model generation needed for reconfiguration;0;0;0;0 not described how the models are created, they do generate control code automatically in order to execute the new production plan;0 no comment on how these models are created, only refferes to that it is a lot of manual effort;0 no comment;0 no comment;0 no comment;0;0;0;2 SysML based methodology to create a MAS simulation model, the simulation is then used to simulate different configurations. These configurations are created manually by adding some additional but identical systems to explore the scalability of the system. SysML models are created manually and than transformed into the simulation with tool support.;0;0;0;1
0;1: constraints regarding Layout positioning are considered;0;0;0;1 SW in order to make sure that the cooperating machines can interact with each other;2 hardware interoperability is considered due to special interfaces. SW interoperability is considered via an defined architecture and an REST implementation;0 not explicitly considered;0;0;0;0;0;0;0 they do write they consider interoperability, but the use a different definition of it.;0;0;2
South Korea;France;Portugal;Italy;Germany;France, Algeria;China;China, Hong Kong;Germany;Saudi Arabia, Poland, India;Morocco;China;Algeria, France;France, Tunisia;;;;
see A1.3;Find best solution by taking into account: penalty cost, processing time in machine, machine reconfiguration time, layout reconfiguration time, material handling time, production cost, machine reconfiguration cost, layout reconfiguration cost, material handling cost. ;;No goals are used at all;;;Fast reconfiguration for new products;Fast recovery of a system internal disruption;;Including several Product Families and considering Reconfiguration Cost and Time;;;;;;;;
;;;Conversibility at machine level;Modularity, Integrability, Conversibility, Customisation, Diagnosability, Mobility, Automation ;Modularity, Integrability, Customisation, Automation;Conversibility, integrability, scalability, modularity, automation, ;Modularity, Diagnosability, Automation;Conversibility, Customisation;Customisation;Modularity, Customisation;;;scalability;modularity;Customisation, Conversibility;Diagnosability;Conversibility
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
